grid_id,age0to15,age15to65,age65plus,total,p_age0to15,p_age15to65,p_age65plus,d_age0to15,d_age15to65,d_age65plus,longitude,latitude
8063,2424680.3029528446,8702774.910681352,1805515.1295005647,12932970.34313476,0.18748054303240116,0.6729138534908237,0.1396056034767752,0.020016359722261484,0.01418517973827682,-0.03420153946053828,0.010600777513940557,51.26789578961791
7677,2112396.6935419203,7134023.411694978,1545794.1621836529,10792214.26742055,0.19573339086852698,0.6610342636757232,0.14323234545574987,0.0282692075583873,0.00230558992317631,-0.03057479748156361,1.9046260521820826,48.704337222244526
6796,1995793.5034997645,6221471.667294101,536298.9253491287,8753564.096142992,0.22799781684116002,0.7107358327375948,0.06126635042124538,0.06053363353102034,0.05200715898504793,-0.11254079251606809,29.179320501924956,40.838908245417734
8068,1048242.0568539534,5289312.121942012,1706866.9802834485,8044421.159079413,0.13030671021877627,0.657513078610035,0.2121802111711887,-0.03715747309136341,-0.001215595142511794,0.038373068233875235,7.185577550569181,51.66198717317437
8449,1363796.3840784226,4769532.2346537765,1240912.0976237801,7374240.716355979,0.1849405839239202,0.6467828239014506,0.16827659217462912,0.01747640061378053,-0.011945849851096257,-0.005530550762684355,-2.1222942856051423,53.79203059106507
6795,1518995.2553633794,4763210.790345906,403420.06558777764,6685626.1112970635,0.22720314149734624,0.7124554545904461,0.06034140391220756,0.059738958187206564,0.05372678083789928,-0.11346573902510591,28.02248101871048,41.05974194966333
8320,1191153.7519713521,4218390.257381651,1150366.905215753,6559910.914568756,0.18158078173378026,0.6430560280953092,0.17536319017091062,0.014116598423640575,-0.015672645657237694,0.0015560472335971465,-1.8721314717154611,52.90764949210934
7166,793644.5335035756,3686452.5410739467,1292955.7005478246,5773052.775125347,0.13747397857216775,0.6385620718656785,0.22396394956215368,-0.029990204737971926,-0.020166601886868363,0.050156806624840206,8.792678794949152,45.390671791352844
7937,932053.6589714428,3426942.6011468526,889359.7022778781,5248355.962396174,0.17758964248032963,0.6529554446574272,0.16945491286224318,0.010125459170189949,-0.005773229095119681,-0.004352230075070296,4.412035542645655,50.66139584488491
7939,702549.7783218683,3432781.536845238,1059500.227133358,5194831.542300464,0.13524014640342952,0.6608070942999386,0.20395275929663198,-0.03222403690671016,0.0020784205473917128,0.030145616359318506,7.239939166622322,50.763873803166916
7811,699202.5561024102,3423100.9656162416,1005819.8751668984,5128123.39688555,0.13634667147967913,0.6675153268923257,0.19613800162799522,-0.031117511830460548,0.008786653139778888,0.022330858690681743,8.682435899285272,49.890174526235185
8066,853710.4002219503,3312078.8230585307,927151.5721970893,5092940.795477571,0.16762621724957572,0.650327375884595,0.18204640686582912,1.6203393943603484e-4,-0.008401297867951851,0.00823926392851565,4.302400825336895,51.55719523975427
7682,688120.769995078,3394718.0627529044,1009041.7840452635,5091880.616793246,0.13514079016810124,0.6666923909325319,0.19816681889936685,-0.03232339314203844,0.007963717179985008,0.02435967596205338,8.70651630096795,48.99102160668894
8201,586599.8228968512,2978100.2294518785,878347.381223867,4443047.433572597,0.13202645969169272,0.6702832400457239,0.19769030026258333,-0.035437723618446965,0.011554566293177082,0.023883157325269855,13.028121876927804,52.55604799853729
8067,706624.9374021606,2884177.426351204,809600.9890736603,4400403.352827025,0.1605818559674062,0.655434785199469,0.1839833588331249,-0.006882327342733474,-0.003293888553077884,0.010176215895811414,5.74245889876573,51.61845229227859
6526,650407.9149339858,2785534.210442522,723574.0921627443,4159516.217539252,0.15636624090836307,0.6696774491939425,0.17395630989769453,-0.011097942401776612,0.010948775441395608,1.491669603810586e-4,14.782219616729327,40.768244134396284
6653,578971.6648114631,2703386.7434635344,842800.9125088148,4125159.320783812,0.14035134640604718,0.6553411718774222,0.20430748171653068,-0.027112836904092497,-0.003387501875124599,0.030500338779217206,12.459911291456864,41.757865429238386
8062,703351.313739892,2543925.657697035,748144.5668096254,3995421.5382465525,0.17603932576500245,0.6367102027520913,0.18725047148290622,0.008575142454862766,-0.02201847100045551,0.013443328545592742,-1.4073349457756479,51.13665049714655
7938,559817.5908245903,2510223.3526127576,742729.0744705118,3812770.0179078598,0.14682700194221862,0.6583726112046394,0.19480038685314188,-0.02063718136792106,-3.5606254790743197e-4,0.020993243915828408,5.824565336250516,50.721301744741716
8192,697812.808638974,2380973.059531682,631844.9039280794,3710630.7720987354,0.188057732363463,0.6416626190444171,0.17027964859211994,0.020593549053323307,-0.01706605470812972,-0.0035274943451935326,-0.18896091492459152,52.1567509066943
7555,507484.6738347663,2479074.7590904012,705065.2677185908,3691624.7006437583,0.13746919445692013,0.6715403000359412,0.19099050550713864,-0.02999498885321955,0.012811626283394384,0.017183362569825167,11.413083470672293,48.08981381203805
7936,671020.2982870525,2287792.0829400276,611947.378293038,3570759.759520118,0.18792087496170068,0.6407017657350011,0.1713773593032982,0.020456691651561,-0.018026908017545695,-0.0024297836340152756,3.0032918239304376,50.58422161584718
8328,478270.09488470433,2336864.421085622,719381.7354182319,3534516.251388558,0.13531415924224785,0.6611553759775668,0.2035304647801854,-0.03215002406789183,0.00242670222501995,0.029723321842871936,10.080069766784874,53.49306128674834
8195,577769.768152753,2285497.545464417,567643.2389155653,3430910.5525327353,0.16840129152485106,0.66614897429408,0.1654497341810689,9.371082147113796e-4,0.007420300541533198,-0.008357408756244578,4.187308796398251,52.45269540158659
8191,606642.1077617565,2178831.216242708,628543.2659239724,3414016.589928437,0.1776916109755848,0.6382017072413756,0.1841066817830395,0.010227427665445127,-0.020526966511171252,0.010299538845726014,-1.6340866213369676,52.02252508861576
